q  I(q)
2.375207e-02 2.986695e+00
2.378163e-02 2.980871e+00
2.381122e-02 2.975066e+00
2.384085e-02 2.969280e+00
2.387052e-02 2.963513e+00
2.390022e-02 2.957765e+00
2.392997e-02 2.952036e+00
2.395975e-02 2.946327e+00
2.398956e-02 2.940635e+00
2.401941e-02 2.934963e+00
2.404930e-02 2.929310e+00
2.407923e-02 2.923675e+00
2.410920e-02 2.918060e+00
2.413920e-02 2.912462e+00
2.416924e-02 2.906885e+00
2.419932e-02 2.901326e+00
2.422943e-02 2.895785e+00
2.425958e-02 2.890263e+00
2.428977e-02 2.884760e+00
2.432000e-02 2.879276e+00
2.435026e-02 2.873811e+00
2.438056e-02 2.868363e+00
2.441090e-02 2.862935e+00
2.444128e-02 2.857525e+00
2.447170e-02 2.852134e+00
2.450215e-02 2.846761e+00
2.453264e-02 2.841406e+00
2.456317e-02 2.836070e+00
2.459374e-02 2.830753e+00
2.462434e-02 2.825454e+00
2.465498e-02 2.820173e+00
2.468566e-02 2.814910e+00
2.471638e-02 2.809666e+00
2.474714e-02 2.804440e+00
2.477794e-02 2.799232e+00
2.480877e-02 2.794042e+00
2.483964e-02 2.788871e+00
2.487056e-02 2.783717e+00
2.490150e-02 2.778582e+00
2.493249e-02 2.773464e+00
2.496352e-02 2.768365e+00
2.499458e-02 2.763283e+00
2.502569e-02 2.758219e+00
2.505683e-02 2.753173e+00
2.508801e-02 2.748144e+00
2.511923e-02 2.743134e+00
2.515049e-02 2.738141e+00
2.518179e-02 2.733165e+00
2.521313e-02 2.728207e+00
2.524450e-02 2.723266e+00
2.527592e-02 2.718344e+00
2.530737e-02 2.713438e+00
2.533886e-02 2.708550e+00
2.537040e-02 2.703679e+00
2.540197e-02 2.698825e+00
2.543358e-02 2.693988e+00
2.546523e-02 2.689169e+00
2.549692e-02 2.684366e+00
2.552865e-02 2.679581e+00
2.556041e-02 2.674812e+00
2.559222e-02 2.670060e+00
2.562407e-02 2.665325e+00
2.565596e-02 2.660607e+00
2.568788e-02 2.655906e+00
2.571985e-02 2.651220e+00
2.575186e-02 2.646552e+00
2.578390e-02 2.641900e+00
2.581599e-02 2.637264e+00
2.584812e-02 2.632645e+00
2.588028e-02 2.628042e+00
2.591249e-02 2.623455e+00
2.594473e-02 2.618884e+00
2.597702e-02 2.614329e+00
2.600935e-02 2.609791e+00
2.604171e-02 2.605268e+00
2.607412e-02 2.600761e+00
2.610657e-02 2.596270e+00
2.613905e-02 2.591794e+00
2.617158e-02 2.587334e+00
2.620415e-02 2.582890e+00
2.623676e-02 2.578460e+00
2.626941e-02 2.574047e+00
2.630210e-02 2.569648e+00
2.633483e-02 2.565265e+00
2.636760e-02 2.560897e+00
2.640041e-02 2.556544e+00
2.643327e-02 2.552205e+00
2.646616e-02 2.547882e+00
2.649910e-02 2.543574e+00
2.653207e-02 2.539280e+00
2.656509e-02 2.535000e+00
2.659815e-02 2.530736e+00
2.663125e-02 2.526485e+00
2.666439e-02 2.522249e+00
2.669757e-02 2.518027e+00
2.673079e-02 2.513820e+00
2.676406e-02 2.509626e+00
2.679736e-02 2.505446e+00
2.683071e-02 2.501280e+00
2.686410e-02 2.497128e+00
2.689753e-02 2.492989e+00
2.693100e-02 2.488865e+00
2.696451e-02 2.484753e+00
2.699807e-02 2.480655e+00
2.703167e-02 2.476570e+00
2.706531e-02 2.472499e+00
2.709899e-02 2.468440e+00
2.713271e-02 2.464395e+00
2.716647e-02 2.460362e+00
2.720028e-02 2.456342e+00
2.723413e-02 2.452335e+00
2.726802e-02 2.448340e+00
2.730195e-02 2.444358e+00
2.733593e-02 2.440388e+00
2.736995e-02 2.436430e+00
2.740400e-02 2.432485e+00
2.743811e-02 2.428551e+00
2.747225e-02 2.424630e+00
2.750644e-02 2.420720e+00
2.754067e-02 2.416822e+00
2.757494e-02 2.412936e+00
2.760926e-02 2.409061e+00
2.764361e-02 2.405197e+00
2.767801e-02 2.401344e+00
2.771246e-02 2.397503e+00
2.774694e-02 2.393673e+00
2.778147e-02 2.389854e+00
2.781604e-02 2.386045e+00
2.785066e-02 2.382247e+00
2.788532e-02 2.378459e+00
2.792002e-02 2.374683e+00
2.795476e-02 2.370916e+00
2.798955e-02 2.367159e+00
2.802438e-02 2.363413e+00
2.805925e-02 2.359677e+00
2.809417e-02 2.355950e+00
2.812913e-02 2.352233e+00
2.816414e-02 2.348526e+00
2.819919e-02 2.344828e+00
2.823428e-02 2.341140e+00
2.826941e-02 2.337461e+00
2.830459e-02 2.333791e+00
2.833981e-02 2.330129e+00
2.837508e-02 2.326477e+00
2.841039e-02 2.322834e+00
2.844575e-02 2.319199e+00
2.848114e-02 2.315572e+00
2.851659e-02 2.311954e+00
2.855207e-02 2.308344e+00
2.858760e-02 2.304742e+00
2.862318e-02 2.301148e+00
2.865880e-02 2.297562e+00
2.869446e-02 2.293983e+00
2.873017e-02 2.290412e+00
2.876592e-02 2.286849e+00
2.880172e-02 2.283292e+00
2.883756e-02 2.279743e+00
2.887345e-02 2.276201e+00
2.890938e-02 2.272666e+00
2.894535e-02 2.269138e+00
2.898137e-02 2.265616e+00
2.901744e-02 2.262100e+00
2.905355e-02 2.258592e+00
2.908970e-02 2.255089e+00
2.912590e-02 2.251592e+00
2.916215e-02 2.248101e+00
2.919844e-02 2.244616e+00
2.923477e-02 2.241137e+00
2.927115e-02 2.237663e+00
2.930758e-02 2.234195e+00
2.934405e-02 2.230732e+00
2.938057e-02 2.227274e+00
2.941713e-02 2.223821e+00
2.945374e-02 2.220373e+00
2.949039e-02 2.216929e+00
2.952709e-02 2.213490e+00
2.956383e-02 2.210056e+00
2.960062e-02 2.206625e+00
2.963746e-02 2.203199e+00
2.967434e-02 2.199777e+00
2.971127e-02 2.196359e+00
2.974824e-02 2.192944e+00
2.978526e-02 2.189533e+00
2.982232e-02 2.186125e+00
2.985944e-02 2.182721e+00
2.989659e-02 2.179320e+00
2.993380e-02 2.175921e+00
2.997105e-02 2.172526e+00
3.000834e-02 2.169134e+00
3.004569e-02 2.165743e+00
3.008308e-02 2.162356e+00
3.012051e-02 2.158971e+00
3.015800e-02 2.155587e+00
3.019553e-02 2.152206e+00
3.023310e-02 2.148827e+00
3.027072e-02 2.145449e+00
3.030839e-02 2.142073e+00
3.034611e-02 2.138698e+00
3.038387e-02 2.135325e+00
3.042168e-02 2.131953e+00
3.045954e-02 2.128582e+00
3.049745e-02 2.125211e+00
3.053540e-02 2.121841e+00
3.057340e-02 2.118473e+00
3.061144e-02 2.115103e+00
3.064954e-02 2.111735e+00
3.068768e-02 2.108367e+00
3.072587e-02 2.104998e+00
3.076410e-02 2.101630e+00
3.080238e-02 2.098261e+00
3.084072e-02 2.094892e+00
3.087909e-02 2.091522e+00
3.091752e-02 2.088152e+00
3.095600e-02 2.084780e+00
3.099452e-02 2.081408e+00
3.103309e-02 2.078034e+00
3.107171e-02 2.074660e+00
3.111037e-02 2.071283e+00
3.114909e-02 2.067905e+00
3.118785e-02 2.064526e+00
3.122666e-02 2.061144e+00
3.126552e-02 2.057761e+00
3.130443e-02 2.054375e+00
3.134338e-02 2.050987e+00
3.138239e-02 2.047597e+00
