q(A-1),I_linear_transform(a.u.),sigI(a.u.)
1.00547,0.020888339,7.24E-05
1.01158,0.020843605,7.21E-05
1.01769,0.020769847,7.33E-05
1.02381,0.020733428,7.07E-05
1.02992,0.020531932,7.24E-05
1.03603,0.020590464,7.08E-05
1.04214,0.020499074,7.11E-05
1.04825,0.020439228,7.12E-05
1.05437,0.020474187,6.91E-05
1.06048,0.020496045,7.03E-05
1.06659,0.020380655,6.88E-05
1.0727,0.020294308,7.01E-05
1.07882,0.020413527,6.94E-05
1.08493,0.020454043,6.96E-05
1.09104,0.020543857,6.97E-05
1.09715,0.020455149,6.88E-05
1.10326,0.020469423,6.97E-05
1.10938,0.020628285,6.89E-05
1.11549,0.020648927,6.90E-05
1.1216,0.020725381,6.96E-05
1.12771,0.020768446,6.75E-05
1.13383,0.02089958,6.92E-05
1.13994,0.020866516,6.77E-05
1.14605,0.02097459,6.92E-05
1.15216,0.021262467,6.83E-05
1.15827,0.021259848,6.97E-05
1.16439,0.021386198,6.83E-05
1.1705,0.021529893,6.99E-05
1.17661,0.0216272,6.87E-05
1.18272,0.021929595,6.97E-05
1.18884,0.022024854,6.89E-05
1.19495,0.022218117,6.89E-05
1.20106,0.022413704,6.91E-05
1.20717,0.022560393,6.98E-05
1.21329,0.022774206,6.97E-05
1.2194,0.023056864,7.05E-05
1.22551,0.023364005,7.02E-05
1.23162,0.023735698,7.12E-05
1.23774,0.023889159,7.10E-05
1.24385,0.024118399,7.06E-05
1.24996,0.024388136,7.08E-05
1.25607,0.024885536,7.09E-05
1.26218,0.025179316,7.27E-05
1.2683,0.025466532,7.15E-05
1.27441,0.026048259,7.38E-05
1.28052,0.02632293,7.24E-05
1.28663,0.026511122,7.37E-05
1.29275,0.027084145,7.38E-05
1.29886,0.027549075,7.37E-05
1.30497,0.027851614,7.41E-05
1.31108,0.028439261,7.47E-05
1.31719,0.028831641,7.49E-05
1.32331,0.029222478,7.66E-05
1.32942,0.029892649,7.55E-05
1.33553,0.030340206,7.77E-05
1.34164,0.03081967,7.67E-05
1.34776,0.031442758,7.63E-05
1.35387,0.031863117,7.82E-05
1.35998,0.032515359,7.75E-05
1.36609,0.033263283,8.02E-05
1.3722,0.033714961,7.88E-05
1.37832,0.034534544,8.09E-05
1.38443,0.035015446,8.08E-05
1.39054,0.035613387,7.95E-05
1.39665,0.036466063,8.15E-05
1.40277,0.037165007,8.20E-05
1.40888,0.037743957,8.20E-05
1.41499,0.038509932,8.41E-05
1.4211,0.03912776,8.34E-05
1.42721,0.039757427,8.37E-05
1.43333,0.040422356,8.43E-05
1.43944,0.041072585,8.37E-05
1.44555,0.041898487,8.52E-05
1.45166,0.042342292,8.64E-05
1.45778,0.043156176,8.55E-05
1.46389,0.043697768,8.78E-05
1.47,0.044258533,8.57E-05
1.47611,0.044929861,8.61E-05
1.48223,0.04537001,8.81E-05
1.48834,0.045985865,8.72E-05
