q,I,dI
0.14998875,250.981774,0
0.150103953,250.8205256,0
0.150219245,250.6591287,0
0.150334625,250.4975832,0
0.150450094,250.3358893,0
0.150565652,250.1740469,0
0.150681298,250.0120561,0
0.150797033,249.8499169,0
0.150912857,249.6876293,0
0.15102877,249.5251934,0
0.151144772,249.3626091,0
0.151260864,249.1998765,0
0.151377044,249.0369956,0
0.151493313,248.8739664,0
0.151609672,248.710789,0
0.151726121,248.5474635,0
0.151842658,248.3839897,0
0.151959285,248.2203678,0
0.152076002,248.0565978,0
0.152192808,247.8926796,0
0.152309705,247.7286135,0
0.152426691,247.5643993,0
0.152543766,247.4000371,0
0.152660932,247.235527,0
0.152778188,247.0708689,0
0.152895533,246.9060629,0
0.153012969,246.7411091,0
0.153130495,246.5760075,0
0.153248112,246.410758,0
0.153365818,246.2453609,0
0.153483615,246.079816,0
0.153601503,245.9141234,0
0.153719481,245.7482832,0
0.15383755,245.5822954,0
0.153955709,245.41616,0
0.154073959,245.2498771,0
0.1541923,245.0834468,0
0.154310732,244.916869,0
0.154429255,244.7501437,0
0.154547869,244.5832712,0
0.154666574,244.4162513,0
0.15478537,244.2490842,0
0.154904258,244.0817698,0
0.155023236,243.9143083,0
0.155142306,243.7466996,0
0.155261468,243.5789439,0
0.155380721,243.4110411,0
0.155500066,243.2429913,0
0.155619502,243.0747946,0
0.15573903,242.9064509,0
0.15585865,242.7379605,0
0.155978362,242.5693232,0
0.156098166,242.4005392,0
0.156218061,242.2316085,0
0.156338049,242.0625312,0
0.156458129,241.8933072,0
0.156578301,241.7239368,0
0.156698566,241.5544198,0
0.156818923,241.3847565,0
0.156939372,241.2149467,0
0.157059914,241.0449907,0
0.157180548,240.8748884,0
0.157301275,240.7046399,0
0.157422095,240.5342452,0
0.157543008,240.3637045,0
0.157664013,240.1930177,0
0.157785112,240.022185,0
0.157906303,239.8512064,0
0.158027588,239.6800819,0
0.158148966,239.5088116,0
0.158270436,239.3373957,0
0.158392001,239.1658341,0
0.158513658,238.9941268,0
0.158635409,238.8222741,0
0.158757254,238.6502759,0
0.158879192,238.4781323,0
0.159001224,238.3058434,0
0.159123349,238.1334093,0
0.159245569,237.9608299,0
0.159367882,237.7881054,0
0.159490289,237.6152359,0
0.15961279,237.4422214,0
0.159735385,237.2690619,0
0.159858075,237.0957577,0
0.159980858,236.9223087,0
0.160103736,236.7487149,0
0.160226709,236.5749766,0
0.160349775,236.4010937,0
0.160472937,236.2270664,0
0.160596193,236.0528946,0
0.160719543,235.8785786,0
0.160842989,235.7041183,0
0.160966529,235.5295138,0
0.161090164,235.3547653,0
0.161213894,235.1798727,0
0.161337719,235.0048362,0
0.161461639,234.8296559,0
0.161585654,234.6543319,0
0.161709765,234.4788641,0
0.161833971,234.3032528,0
0.161958272,234.1274979,0
0.162082669,233.9515997,0
0.162207161,233.7755581,0
0.162331749,233.5993732,0
0.162456433,233.4230452,0
0.162581212,233.2465741,0
0.162706087,233.06996,0
0.162831058,232.893203,0
0.162956126,232.7163032,0
0.163081289,232.5392607,0
0.163206548,232.3620755,0
0.163331904,232.1847478,0
0.163457355,232.0072777,0
0.163582904,231.8296652,0
0.163708548,231.6519104,0
0.163834289,231.4740135,0
0.163960127,231.2959746,0
0.164086061,231.1177936,0
0.164212092,230.9394708,0
0.16433822,230.7610063,0
0.164464445,230.5824,0
0.164590767,230.4036522,0
0.164717186,230.2247629,0
0.164843701,230.0457322,0
0.164970314,229.8665603,0
0.165097025,229.6872472,0
0.165223832,229.507793,0
0.165350737,229.3281979,0
0.16547774,229.1484619,0
0.16560484,228.9685852,0
0.165732037,228.7885678,0
0.165859333,228.6084099,0
0.165986726,228.4281116,0
0.166114217,228.247673,0
0.166241805,228.0670941,0
0.166369492,227.8863752,0
0.166497277,227.7055163,0
0.16662516,227.5245175,0
0.166753142,227.3433789,0
0.166881221,227.1621007,0
0.167009399,226.980683,0
0.167137676,226.7991258,0
0.167266051,226.6174294,0
0.167394524,226.4355938,0
0.167523096,226.2536191,0
0.167651767,226.0715055,0
0.167780537,225.889253,0
0.167909406,225.7068618,0
0.168038374,225.5243321,0
0.16816744,225.3416639,0
0.168296606,225.1588574,0
0.168425871,224.9759126,0
0.168555236,224.7928298,0
0.1686847,224.609609,0
0.168814263,224.4262503,0
0.168943925,224.242754,0
0.169073688,224.05912,0
0.16920355,223.8753486,0
0.169333511,223.6914399,0
0.169463573,223.507394,0
0.169593734,223.323211,0
0.169723996,223.1388911,0
0.169854357,222.9544343,0
0.169984819,222.769841,0
0.170115381,222.585111,0
0.170246043,222.4002447,0
0.170376805,222.2152422,0
0.170507668,222.0301035,0
0.170638631,221.8448288,0
0.170769695,221.6594183,0
0.17090086,221.473872,0
0.171032125,221.2881902,0
0.171163492,221.102373,0
0.171294959,220.9164205,0
0.171426527,220.7303328,0
0.171558196,220.5441102,0
0.171689966,220.3577527,0
0.171821838,220.1712605,0
0.17195381,219.9846337,0
0.172085885,219.7978725,0
0.17221806,219.6109771,0
0.172350337,219.4239475,0
0.172482716,219.236784,0
0.172615196,219.0494867,0
0.172747778,218.8620557,0
0.172880462,218.6744911,0
0.173013248,218.4867933,0
0.173146136,218.2989622,0
0.173279126,218.1109981,0
0.173412218,217.9229011,0
0.173545412,217.7346713,0
0.173678709,217.546309,0
0.173812108,217.3578143,0
0.173945609,217.1691873,0
0.174079213,216.9804282,0
0.17421292,216.7915372,0
0.174346729,216.6025144,0
0.174480641,216.41336,0
0.174614656,216.2240741,0
0.174748774,216.034657,0
0.174882995,215.8451087,0
0.175017319,215.6554295,0
0.175151746,215.4656195,0
0.175286277,215.2756789,0
0.17542091,215.0856079,0
0.175555647,214.8954066,0
0.175690488,214.7050752,0
0.175825432,214.5146139,0
0.17596048,214.3240228,0
0.176095632,214.1333021,0
0.176230887,213.942452,0
0.176366246,213.7514727,0
0.17650171,213.5603644,0
0.176637277,213.3691272,0
0.176772948,213.1777612,0
0.176908724,212.9862668,0
0.177044604,212.794644,0
0.177180588,212.6028931,0
0.177316677,212.4110142,0
0.17745287,212.2190075,0
0.177589168,212.0268732,0
0.17772557,211.8346115,0
0.177862078,211.6422226,0
0.17799869,211.4497066,0
0.178135407,211.2570638,0
0.178272229,211.0642943,0
0.178409156,210.8713983,0
0.178546188,210.678376,0
0.178683326,210.4852277,0
0.178820569,210.2919534,0
0.178957917,210.0985534,0
0.179095371,209.905028,0
0.179232931,209.7113772,0
0.179370596,209.5176013,0
0.179508366,209.3237004,0
0.179646243,209.1296749,0
0.179784226,208.9355248,0
0.179922314,208.7412504,0
0.180060509,208.5468519,0
0.180198809,208.3523294,0
0.180337216,208.1576833,0
0.18047573,207.9629136,0
0.180614349,207.7680206,0
0.180753075,207.5730046,0
0.180891908,207.3778656,0
0.181030847,207.1826039,0
0.181169893,206.9872198,0
0.181309046,206.7917134,0
0.181448306,206.596085,0
0.181587673,206.4003347,0
0.181727146,206.2044628,0
0.181866727,206.0084695,0
0.182006415,205.812355,0
0.18214621,205.6161195,0
0.182286113,205.4197633,0
0.182426123,205.2232865,0
0.182566241,205.0266894,0
0.182706466,204.8299721,0
0.182846799,204.633135,0
0.18298724,204.4361782,0
0.183127789,204.239102,0
0.183268445,204.0419066,0
0.18340921,203.8445922,0
0.183550083,203.647159,0
0.183691064,203.4496073,0
0.183832153,203.2519373,0
0.183973351,203.0541492,0
0.184114657,202.8562432,0
0.184256071,202.6582196,0
0.184397595,202.4600787,0
0.184539227,202.2618206,0
0.184680967,202.0634456,0
0.184822817,201.8649539,0
0.184964775,201.6663457,0
0.185106843,201.4676214,0
0.18524902,201.2687811,0
0.185391306,201.069825,0
0.185533701,200.8707535,0
0.185676205,200.6715667,0
0.185818819,200.4722649,0
0.185961543,200.2728483,0
0.186104376,200.0733173,0
0.186247319,199.8736719,0
0.186390372,199.6739126,0
0.186533534,199.4740394,0
0.186676807,199.2740527,0
0.186820189,199.0739528,0
0.186963682,198.8737398,0
0.187107285,198.6734141,0
0.187250998,198.4729758,0
0.187394822,198.2724252,0
0.187538756,198.0717627,0
0.1876828,197.8709884,0
0.187826956,197.6701026,0
0.187971222,197.4691055,0
0.188115598,197.2679974,0
0.188260086,197.0667787,0
0.188404685,196.8654495,0
0.188549394,196.66401,0
0.188694215,196.4624607,0
0.188839147,196.2608016,0
0.188984191,196.0590332,0
0.189129345,195.8571556,0
0.189274612,195.6551691,0
0.18941999,195.4530741,0
