<X> <Y> <dY> <dX>
1.431440000000000e-01 6.414460000000000e+07 1.505970000000000e+09 9.544770000000000e+08
1.438130000000000e-01 6.686760000000000e+07 1.566800000000000e+09 9.917850000000000e+08
1.444820000000000e-01 6.963750000000000e+07 1.621400000000000e+09 1.023930000000000e+09
1.451510000000000e-01 7.207300000000000e+07 1.661860000000000e+09 1.046140000000000e+09
1.458190000000000e-01 7.384670000000000e+07 1.681840000000000e+09 1.054660000000000e+09
1.464880000000000e-01 7.470190000000000e+07 1.676860000000000e+09 1.046950000000000e+09
1.471570000000000e-01 7.446480000000000e+07 1.644510000000000e+09 1.021800000000000e+09
1.478260000000000e-01 7.305020000000000e+07 1.584500000000000e+09 9.793240000000000e+08
1.484950000000000e-01 7.046220000000000e+07 1.498600000000000e+09 9.209290000000000e+08
1.491640000000000e-01 6.678890000000000e+07 1.390420000000000e+09 8.491500000000000e+08
1.498330000000000e-01 6.219210000000000e+07 1.265080000000000e+09 7.674420000000000e+08
1.505020000000000e-01 5.689270000000000e+07 1.128830000000000e+09 6.799180000000000e+08
1.511710000000000e-01 5.115320000000000e+07 9.885990000000000e+08 5.910480000000000e+08
1.518390000000000e-01 4.525820000000000e+07 8.514600000000000e+08 5.053460000000000e+08
1.525080000000000e-01 3.949420000000000e+07 7.241890000000000e+08 4.270650000000000e+08
1.531770000000000e-01 3.413030000000000e+07 6.127990000000000e+08 3.599180000000000e+08
1.538460000000000e-01 2.940100000000000e+07 5.221640000000000e+08 3.068410000000000e+08
1.545150000000000e-01 2.549190000000000e+07 4.557160000000000e+08 2.698140000000000e+08
1.551840000000000e-01 2.252900000000000e+07 4.152570000000000e+08 2.497500000000000e+08
1.558530000000000e-01 2.057310000000000e+07 4.008820000000000e+08 2.464580000000000e+08
1.565220000000000e-01 1.961770000000000e+07 4.110120000000000e+08 2.586820000000000e+08
1.571910000000000e-01 1.959250000000000e+07 4.425420000000000e+08 2.842040000000000e+08
1.578600000000000e-01 2.037070000000000e+07 4.910880000000000e+08 3.200110000000000e+08
1.585280000000000e-01 2.177930000000000e+07 5.513060000000000e+08 3.625150000000000e+08
1.591970000000000e-01 2.361270000000000e+07 6.172720000000000e+08 4.078000000000000e+08
1.598660000000000e-01 2.564790000000000e+07 6.828920000000000e+08 4.518860000000000e+08
1.605350000000000e-01 2.766020000000000e+07 7.423060000000000e+08 4.909970000000000e+08
1.612040000000000e-01 2.943840000000000e+07 7.902780000000000e+08 5.218030000000000e+08
1.618730000000000e-01 3.079850000000000e+07 8.225250000000000e+08 5.416350000000000e+08
1.625420000000000e-01 3.159540000000000e+07 8.359840000000000e+08 5.486460000000000e+08
1.632110000000000e-01 3.173140000000000e+07 8.289880000000000e+08 5.419170000000000e+08
1.638800000000000e-01 3.116110000000000e+07 8.013470000000000e+08 5.215040000000000e+08
1.645480000000000e-01 2.989280000000000e+07 7.543310000000000e+08 4.884150000000000e+08
1.652170000000000e-01 2.798630000000000e+07 6.905590000000000e+08 4.445270000000000e+08
1.658860000000000e-01 2.554710000000000e+07 6.137990000000000e+08 3.924530000000000e+08
1.665550000000000e-01 2.271800000000000e+07 5.286970000000000e+08 3.353550000000000e+08
1.672240000000000e-01 1.966830000000000e+07 4.404610000000000e+08 2.767300000000000e+08
1.678930000000000e-01 1.658180000000000e+07 3.545050000000000e+08 2.201820000000000e+08
1.685620000000000e-01 1.364390000000000e+07 2.760970000000000e+08 1.691820000000000e+08
1.692310000000000e-01 1.102930000000000e+07 2.100150000000000e+08 1.268480000000000e+08
1.699000000000000e-01 8.891020000000000e+06 1.602510000000000e+08 9.575140000000000e+07
1.705690000000000e-01 7.350400000000000e+06 1.297610000000000e+08 7.775720000000000e+07
1.712370000000000e-01 6.490530000000000e+06 1.203000000000000e+08 7.391860000000000e+07
1.719060000000000e-01 6.351780000000000e+06 1.323260000000000e+08 8.442010000000000e+07
1.725750000000000e-01 6.930480000000000e+06 1.649940000000000e+08 1.085790000000000e+08
1.732440000000000e-01 8.180510000000000e+06 2.162330000000000e+08 1.449030000000000e+08
1.739130000000000e-01 1.001760000000000e+07 2.828980000000000e+08 1.911930000000000e+08
1.745820000000000e-01 1.232610000000000e+07 3.609860000000000e+08 2.446940000000000e+08
1.752510000000000e-01 1.496710000000000e+07 4.459030000000000e+08 3.022700000000000e+08
